Species,Distance.m,Angle.degrees,Tree.Height.m
Ginkgo biloba,37.1359657170251,25.7740561838727,17.93148679744986
Betula pendula,49.0705289924517,22.1340628678445,19.959466786580826
Ginkgo biloba,37.7177836187184,38.4513014333788,29.94977305917989
Quercus robur,38.6944898404181,28.8151913310867,21.28583786331085
Metasequoia glyptostroboides,43.7934040511027,43.4747779497411,41.52176512937559
Quercus robur,31.1318424111232,36.4222790568601,22.971064479255634
Fraxinus excelsior,46.5926557453349,40.0547198357526,39.1717694540829
Fagus sylvatica,46.8141130637378,42.2744762897491,42.55945949481451
Metasequoia glyptostroboides,43.3638163143769,25.2968545409385,20.495069595239887
Metasequoia glyptostroboides,43.2250146940351,29.3812054779846,24.337366755080588
Metasequoia glyptostroboides,30.3724726615474,26.0244086605962,14.829665038949912
Ginkgo biloba,36.2616367125884,26.9264538411517,18.41763461575867
Fraxinus excelsior,43.0547891696915,38.5519382532220,34.31109486786842
Metasequoia glyptostroboides,31.8466471461579,27.0579518273007,16.267272008346904
Pinus sylvestris,32.1485107298940,43.5628935683053,30.574936243868127
Carpinus betulus,31.9652264704928,32.4111447832547,20.29447241226934
Alnus glutinosa,33.2068143971264,39.2829246632755,27.16294054903312
Ginkgo biloba,46.2207302916795,22.6515088393353,19.288603586194192
Populus tremula,34.6725190524012,29.0177269594278,19.233317120395288
Metasequoia glyptostroboides,31.6282911319286,27.4797301611397,16.450427342033752
Pinus sylvestris,42.4521899130195,36.4182837354019,31.31936918817584
Carpinus betulus,44.0396487526596,26.9310160295572,22.37257332805672
Quercus robur,47.0961082773283,43.5438830161002,44.76114212077403
Populus tremula,32.2839726274833,32.886884593172,20.874957205807696
Fraxinus excelsior,49.0115680545568,30.479611356277,28.84653264060218
Populus tremula,43.1407250231132,28.9061927516013,23.821043784761244
Ginkgo biloba,45.5459984904155,32.2224305989221,28.706753853424125
Carpinus betulus,31.2111467495561,39.5559814048465,25.77974275732191
Fraxinus excelsior,42.0305995130911,37.7148740214761,32.502371408838876
Metasequoia glyptostroboides,31.9186182180420,43.9337977429386,30.752257558541505
Pinus sylvestris,41.8378670746461,30.7671553385444,24.907879197555243
Metasequoia glyptostroboides,44.3048819759861,44.4214324338827,43.41902385024672
Populus tremula,33.7106570415199,22.4894612724893,13.956147457662166
Metasequoia glyptostroboides,44.3288471642882,37.6085923507344,34.14839950465843
Ginkgo biloba,38.8612799486145,23.7011940556113,17.059875183249062
Quercus robur,40.2974182832986,41.5249906526878,35.68349044320246
Pinus sylvestris,39.4655588641763,42.5670967833139,36.248636090366574
Metasequoia glyptostroboides,31.1997501179576,36.4470520627219,23.042012089501043
Fraxinus excelsior,49.7581105213612,20.4188025603071,18.52346505550698
Ginkgo biloba,39.0433466527611,35.7310830720235,28.087621070017814
Quercus robur,37.2985610784963,30.0138944864739,21.546396061768586
Metasequoia glyptostroboides,42.3745733685791,33.7517177441623,28.31562234181736
Ginkgo biloba,40.405092779547,33.9635875006206,27.216234460893382
Betula pendula,40.3485652338713,32.1756120526697,25.384868903787424
Ginkgo biloba,47.1486219018698,26.6794721642509,23.69212484664162
Ginkgo biloba,33.7005372857675,20.654582423158,12.703852711229928
Carpinus betulus,30.6755190063268,26.8811376637314,15.549883230424676
Quercus robur,31.8700994597748,23.1649143493269,13.636447101918963
Fagus sylvatica,37.5095350714400,36.5860947454348,27.84291750527456
Carpinus betulus,46.1398328468204,43.9787996921223,44.523737012335246
Ginkgo biloba,39.7066187299788,29.9145355867222,22.845724506628397
Alnus glutinosa,41.0378486057743,22.0238169818185,16.60021386268952
Pinus sylvestris,33.4058833960444,35.9963867568877,24.267576407510237
Carpinus betulus,39.5015619648620,30.2981362491846,23.081125424716806
Fagus sylvatica,43.9889151183888,27.0793361170217,22.49024971123315
Carpinus betulus,37.8497270308435,38.5734353668522,30.186318931196407
Alnus glutinosa,43.5288517223671,36.761984070763,32.518718879595255
