id	rep	cite	OTName	OTUnit
1656	218	sub	Barko, J. & Smart, R. (1981) Comparative influences of light and temperature on the growth and metabolism of selected submersed freshwater macrophytes. Ecological Monographs. [Online] 51 (2), 219–236. Available from: http://www.jstor.org/stable/2937264 [Accessed: 3 July 2014].	net photosynthesis	mg co2 g(DW)^-1 h^-1
1657	218	sub	Barko, J. & Smart, R. (1981) Comparative influences of light and temperature on the growth and metabolism of selected submersed freshwater macrophytes. Ecological Monographs. [Online] 51 (2), 219–236. Available from: http://www.jstor.org/stable/2937264 [Accessed: 3 July 2014].	net photosynthesis	mg co2 g(DW)^-1 h^-1
1661	219	sub	Barko, J. & Smart, R. (1981) Comparative influences of light and temperature on the growth and metabolism of selected submersed freshwater macrophytes. Ecological Monographs. [Online] 51 (2), 219–236. Available from: http://www.jstor.org/stable/2937264 [Accessed: 3 July 2014].	net photosynthesis	mg co2 g(DW)^-1 h^-1
1662	219	sub	Barko, J. & Smart, R. (1981) Comparative influences of light and temperature on the growth and metabolism of selected submersed freshwater macrophytes. Ecological Monographs. [Online] 51 (2), 219–236. Available from: http://www.jstor.org/stable/2937264 [Accessed: 3 July 2014].	net photosynthesis	mg co2 g(DW)^-1 h^-1
1666	220	sub	Barko, J. & Smart, R. (1981) Comparative influences of light and temperature on the growth and metabolism of selected submersed freshwater macrophytes. Ecological Monographs. [Online] 51 (2), 219–236. Available from: http://www.jstor.org/stable/2937264 [Accessed: 3 July 2014].	respiration	mg co2 g(DW)^-1 h^-1
1667	220	sub	Barko, J. & Smart, R. (1981) Comparative influences of light and temperature on the growth and metabolism of selected submersed freshwater macrophytes. Ecological Monographs. [Online] 51 (2), 219–236. Available from: http://www.jstor.org/stable/2937264 [Accessed: 3 July 2014].	respiration	mg co2 g(DW)^-1 h^-1
1671	221	sub	Barko, J. & Smart, R. (1981) Comparative influences of light and temperature on the growth and metabolism of selected submersed freshwater macrophytes. Ecological Monographs. [Online] 51 (2), 219–236. Available from: http://www.jstor.org/stable/2937264 [Accessed: 3 July 2014].	respiration	mg co2 g(DW)^-1 h^-1
1672	221	sub	Barko, J. & Smart, R. (1981) Comparative influences of light and temperature on the growth and metabolism of selected submersed freshwater macrophytes. Ecological Monographs. [Online] 51 (2), 219–236. Available from: http://www.jstor.org/stable/2937264 [Accessed: 3 July 2014].	respiration	mg co2 g(DW)^-1 h^-1
1676	222	sub	Denius, H.R. & Homann, P.H. (1972) The Relation between Photosynthesis, Respiration, and Crassulacean Acid Metabolism in Leaf Slices of Aloe arborescens Mill. Plant physiology. [Online] 49 (6), 873–880. Available from: http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=366071&tool=pmcentrez&rendertype=abstract.	respiration	micromol o2 mg(Chl)^-1 h^-1
1677	222	sub	Denius, H.R. & Homann, P.H. (1972) The Relation between Photosynthesis, Respiration, and Crassulacean Acid Metabolism in Leaf Slices of Aloe arborescens Mill. Plant physiology. [Online] 49 (6), 873–880. Available from: http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=366071&tool=pmcentrez&rendertype=abstract.	respiration	micromol o2 mg(Chl)^-1 h^-1
1686	223	6	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	dark respiration	mg o2 g(DW)^-2 h^-1
1687	223	6	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	dark respiration	mg o2 g(DW)^-2 h^-1
1692	224	6	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	dark respiration	mg o2 g(DW)^-2 h^-1
1693	224	6	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	dark respiration	mg o2 g(DW)^-2 h^-1
1698	225	6	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	dark respiration	mg o2 g(DW)^-2 h^-1
1699	225	6	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	dark respiration	mg o2 g(DW)^-2 h^-1
1704	226	6	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	dark respiration	mg o2 g(DW)^-2 h^-1
1705	226	6	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	dark respiration	mg o2 g(DW)^-2 h^-1
1710	227	3	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	pmax	mg o2 g(DW)^-2 h^-1
1711	227	3	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	pmax	mg o2 g(DW)^-2 h^-1
1716	228	3	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	pmax	mg o2 g(DW)^-2 h^-1
1717	228	3	Terrados, J. & Ros, J.D. (1992) The influence of temperature on seasonal variation of Caulerpa prolifera (Forsskal) Lamouroux photosynthesis and respiration. Journal of Experimental Marine Biology and Ecology. [Online] 162 (2), 199–212. Available from: doi:10.1016/0022-0981(92)90201-K.	pmax	mg o2 g(DW)^-2 h^-1
1721	229	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1722	229	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1729	230	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1730	230	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1737	231	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1738	231	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1745	232	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1746	232	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1753	233	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1754	233	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1761	234	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1762	234	sub	Albrizio, R. & Steduto, P. (2003) Photosynthesis, respiration and conservative carbon use efficiency of four field grown crops. Agricultural and Forest Meteorology. [Online] 116 (1-2), 19–36. Available from: doi:10.1016/S0168-1923(02)00252-6 [Accessed: 9 June 2014].	respiration	microg co2 m^-2 s^-1
1769	235	5	Davison, I., Greene, R. & Podolak, E. (1991) Temperature acclimation of respiration and photosynthesis in the brown alga Laminaria saccharina. Marine Biology. [Online] 454449–454. Available from: http://link.springer.com/article/10.1007/BF01344363 [Accessed: 4 July 2014].	respiration rate	micromol o2 g^-1 h^-1
1770	235	5	Davison, I., Greene, R. & Podolak, E. (1991) Temperature acclimation of respiration and photosynthesis in the brown alga Laminaria saccharina. Marine Biology. [Online] 454449–454. Available from: http://link.springer.com/article/10.1007/BF01344363 [Accessed: 4 July 2014].	respiration rate	micromol o2 g^-1 h^-1
1775	236	5	Davison, I., Greene, R. & Podolak, E. (1991) Temperature acclimation of respiration and photosynthesis in the brown alga Laminaria saccharina. Marine Biology. [Online] 454449–454. Available from: http://link.springer.com/article/10.1007/BF01344363 [Accessed: 4 July 2014].	respiration rate	micromol o2 g^-1 h^-1
1776	236	5	Davison, I., Greene, R. & Podolak, E. (1991) Temperature acclimation of respiration and photosynthesis in the brown alga Laminaria saccharina. Marine Biology. [Online] 454449–454. Available from: http://link.springer.com/article/10.1007/BF01344363 [Accessed: 4 July 2014].	respiration rate	micromol o2 g^-1 h^-1
1781	237	sub	Vries, F. de, Witlage, J. & Kremer, D. (1979) Rates of respiration and of increase in structural dry matter in young wheat, ryegrass and maize plants in relation to temperature, to water stress and to their sugar content. Annals of Botany. [Online] 595–609. Available from: http://aob.oxfordjournals.org/content/44/5/595.short [Accessed: 5 July 2014].	respiration	mg co2 g^-1 h^-1
1782	237	sub	Vries, F. de, Witlage, J. & Kremer, D. (1979) Rates of respiration and of increase in structural dry matter in young wheat, ryegrass and maize plants in relation to temperature, to water stress and to their sugar content. Annals of Botany. [Online] 595–609. Available from: http://aob.oxfordjournals.org/content/44/5/595.short [Accessed: 5 July 2014].	respiration	mg co2 g^-1 h^-1
1827	238	sub	Vries, F. de, Witlage, J. & Kremer, D. (1979) Rates of respiration and of increase in structural dry matter in young wheat, ryegrass and maize plants in relation to temperature, to water stress and to their sugar content. Annals of Botany. [Online] 595–609. Available from: http://aob.oxfordjournals.org/content/44/5/595.short [Accessed: 5 July 2014].	respiration	mg co2 g^-1 h^-1
1828	238	sub	Vries, F. de, Witlage, J. & Kremer, D. (1979) Rates of respiration and of increase in structural dry matter in young wheat, ryegrass and maize plants in relation to temperature, to water stress and to their sugar content. Annals of Botany. [Online] 595–609. Available from: http://aob.oxfordjournals.org/content/44/5/595.short [Accessed: 5 July 2014].	respiration	mg co2 g^-1 h^-1
1843	239	sub	Vries, F. de, Witlage, J. & Kremer, D. (1979) Rates of respiration and of increase in structural dry matter in young wheat, ryegrass and maize plants in relation to temperature, to water stress and to their sugar content. Annals of Botany. [Online] 595–609. Available from: http://aob.oxfordjournals.org/content/44/5/595.short [Accessed: 5 July 2014].	respiration	mg co2 g^-1 h^-1
1844	239	sub	Vries, F. de, Witlage, J. & Kremer, D. (1979) Rates of respiration and of increase in structural dry matter in young wheat, ryegrass and maize plants in relation to temperature, to water stress and to their sugar content. Annals of Botany. [Online] 595–609. Available from: http://aob.oxfordjournals.org/content/44/5/595.short [Accessed: 5 July 2014].	respiration	mg co2 g^-1 h^-1
1878	240	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	dark respiration	microg co2 g(DW)^-1 min^-1
1879	240	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	dark respiration	microg co2 g(DW)^-1 min^-1
1884	241	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	dark respiration	microg co2 g(DW)^-1 min^-1
1885	241	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	dark respiration	microg co2 g(DW)^-1 min^-1
1889	242	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1890	242	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1894	243	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1895	243	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1901	244	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1902	244	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1907	245	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1908	245	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1912	246	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1913	246	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1917	247	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1918	247	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1924	248	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	dark respiration	microg co2 g(DW)^-1 min^-1
1925	248	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	dark respiration	microg co2 g(DW)^-1 min^-1
1930	249	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1931	249	sub	Hellmuth, E. (1971) Western Australia: III. Comparative Studies on Photosynthesis, Respiration and Water Relations of Ten Arid Zone and Two Semi-Arid Zone Plants Under Winter. The Journal of Ecology. [Online] 59 (1), 225–259. Available from: http://www.jstor.org/stable/2258465 [Accessed: 7 July 2014].	net photosynthesis	microg co2 g(DW)^-1 min^-1
1935	250	4	Wang, K., Kellomäki, S. & Laitinen, K. (1996) Acclimation of photosynthetic parameters in Scots pine after three years exposure to elevated temperature and CO 2. Agricultural and Forest Meteorology. [Online] 1923 (96). Available from: http://www.sciencedirect.com/science/article/pii/0168192396023295 [Accessed: 7 July 2014].	day respiration rate	micromol m^-2 s^-1
1936	250	4	Wang, K., Kellomäki, S. & Laitinen, K. (1996) Acclimation of photosynthetic parameters in Scots pine after three years exposure to elevated temperature and CO 2. Agricultural and Forest Meteorology. [Online] 1923 (96). Available from: http://www.sciencedirect.com/science/article/pii/0168192396023295 [Accessed: 7 July 2014].	day respiration rate	micromol m^-2 s^-1
1940	251	4	Wang, K., Kellomäki, S. & Laitinen, K. (1996) Acclimation of photosynthetic parameters in Scots pine after three years exposure to elevated temperature and CO 2. Agricultural and Forest Meteorology. [Online] 1923 (96). Available from: http://www.sciencedirect.com/science/article/pii/0168192396023295 [Accessed: 7 July 2014].	day respiration rate	micromol m^-2 s^-1
1941	251	4	Wang, K., Kellomäki, S. & Laitinen, K. (1996) Acclimation of photosynthetic parameters in Scots pine after three years exposure to elevated temperature and CO 2. Agricultural and Forest Meteorology. [Online] 1923 (96). Available from: http://www.sciencedirect.com/science/article/pii/0168192396023295 [Accessed: 7 July 2014].	day respiration rate	micromol m^-2 s^-1
1945	252	4	Wang, K., Kellomäki, S. & Laitinen, K. (1996) Acclimation of photosynthetic parameters in Scots pine after three years exposure to elevated temperature and CO 2. Agricultural and Forest Meteorology. [Online] 1923 (96). Available from: http://www.sciencedirect.com/science/article/pii/0168192396023295 [Accessed: 7 July 2014].	day respiration rate	micromol m^-2 s^-1
1946	252	4	Wang, K., Kellomäki, S. & Laitinen, K. (1996) Acclimation of photosynthetic parameters in Scots pine after three years exposure to elevated temperature and CO 2. Agricultural and Forest Meteorology. [Online] 1923 (96). Available from: http://www.sciencedirect.com/science/article/pii/0168192396023295 [Accessed: 7 July 2014].	day respiration rate	micromol m^-2 s^-1
1950	253	4	Wang, K., Kellomäki, S. & Laitinen, K. (1996) Acclimation of photosynthetic parameters in Scots pine after three years exposure to elevated temperature and CO 2. Agricultural and Forest Meteorology. [Online] 1923 (96). Available from: http://www.sciencedirect.com/science/article/pii/0168192396023295 [Accessed: 7 July 2014].	day respiration rate	micromol m^-2 s^-1
1951	253	4	Wang, K., Kellomäki, S. & Laitinen, K. (1996) Acclimation of photosynthetic parameters in Scots pine after three years exposure to elevated temperature and CO 2. Agricultural and Forest Meteorology. [Online] 1923 (96). Available from: http://www.sciencedirect.com/science/article/pii/0168192396023295 [Accessed: 7 July 2014].	day respiration rate	micromol m^-2 s^-1
1955	254	5	Ow, L.F., Whitehead, D., Walcroft, A.S. & Turnbull, M.H. (2010) Seasonal variation in foliar carbon exchange in Pinus radiata and Populus deltoides: respiration acclimates fully to changes in temperature but photosynthesis does not. Global Change Biology. [Online] 16 (1), 288–302. Available from: doi:10.1111/j.1365-2486.2009.01892.x [Accessed: 1 June 2014].	dark respiration	micromol m^-2 s^-1
1956	254	5	Ow, L.F., Whitehead, D., Walcroft, A.S. & Turnbull, M.H. (2010) Seasonal variation in foliar carbon exchange in Pinus radiata and Populus deltoides: respiration acclimates fully to changes in temperature but photosynthesis does not. Global Change Biology. [Online] 16 (1), 288–302. Available from: doi:10.1111/j.1365-2486.2009.01892.x [Accessed: 1 June 2014].	dark respiration	micromol m^-2 s^-1
1967	255	5	Ow, L.F., Whitehead, D., Walcroft, A.S. & Turnbull, M.H. (2010) Seasonal variation in foliar carbon exchange in Pinus radiata and Populus deltoides: respiration acclimates fully to changes in temperature but photosynthesis does not. Global Change Biology. [Online] 16 (1), 288–302. Available from: doi:10.1111/j.1365-2486.2009.01892.x [Accessed: 1 June 2014].	dark respiration	micromol m^-2 s^-1
1968	255	5	Ow, L.F., Whitehead, D., Walcroft, A.S. & Turnbull, M.H. (2010) Seasonal variation in foliar carbon exchange in Pinus radiata and Populus deltoides: respiration acclimates fully to changes in temperature but photosynthesis does not. Global Change Biology. [Online] 16 (1), 288–302. Available from: doi:10.1111/j.1365-2486.2009.01892.x [Accessed: 1 June 2014].	dark respiration	micromol m^-2 s^-1
1974	256	6	Mathieson, A. & Dawes, C. (1974) Ecological studies of Floridian Eucheuma (Rhodophyta, Gigartinales). II. Photosynthesis and respiration. Bulletin of Marine Science. [Online] (636). Available from: http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Ecological+studies+of+floridian#8 [Accessed: 8 July 2014].	apparent photosynthesis	microl o2 g(DW)^-1 (10 minutes)^-1
1975	256	6	Mathieson, A. & Dawes, C. (1974) Ecological studies of Floridian Eucheuma (Rhodophyta, Gigartinales). II. Photosynthesis and respiration. Bulletin of Marine Science. [Online] (636). Available from: http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Ecological+studies+of+floridian#8 [Accessed: 8 July 2014].	apparent photosynthesis	microl o2 g(DW)^-1 (10 minutes)^-1
1982	257	6	Mathieson, A. & Dawes, C. (1974) Ecological studies of Floridian Eucheuma (Rhodophyta, Gigartinales). II. Photosynthesis and respiration. Bulletin of Marine Science. [Online] (636). Available from: http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Ecological+studies+of+floridian#8 [Accessed: 8 July 2014].	apparent photosynthesis	microl o2 g(DW)^-1 (10 minutes)^-1
1983	257	6	Mathieson, A. & Dawes, C. (1974) Ecological studies of Floridian Eucheuma (Rhodophyta, Gigartinales). II. Photosynthesis and respiration. Bulletin of Marine Science. [Online] (636). Available from: http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Ecological+studies+of+floridian#8 [Accessed: 8 July 2014].	apparent photosynthesis	microl o2 g(DW)^-1 (10 minutes)^-1
1990	258	6	Mathieson, A. & Dawes, C. (1974) Ecological studies of Floridian Eucheuma (Rhodophyta, Gigartinales). II. Photosynthesis and respiration. Bulletin of Marine Science. [Online] (636). Available from: http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Ecological+studies+of+floridian#8 [Accessed: 8 July 2014].	apparent photosynthesis	microl o2 g(DW)^-1 (10 minutes)^-1
1991	258	6	Mathieson, A. & Dawes, C. (1974) Ecological studies of Floridian Eucheuma (Rhodophyta, Gigartinales). II. Photosynthesis and respiration. Bulletin of Marine Science. [Online] (636). Available from: http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Ecological+studies+of+floridian#8 [Accessed: 8 July 2014].	apparent photosynthesis	microl o2 g(DW)^-1 (10 minutes)^-1
1998	259	6	Mathieson, A. & Dawes, C. (1974) Ecological studies of Floridian Eucheuma (Rhodophyta, Gigartinales). II. Photosynthesis and respiration. Bulletin of Marine Science. [Online] (636). Available from: http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Ecological+studies+of+floridian#8 [Accessed: 8 July 2014].	apparent photosynthesis	microl o2 g(DW)^-1 (10 minutes)^-1
