id	cite	CTaxa	RTaxa	RDenUnit
378	39852	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
379	39852	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
383	39853	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
384	39853	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
388	39854	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
389	39854	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
393	39855	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
394	39855	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
398	39856	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
399	39856	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
403	39857	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
404	39857	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
408	39858	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
409	39858	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
413	39859	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
414	39859	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
418	39860	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
419	39860	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
423	39861	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
424	39861	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
428	39862	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
429	39862	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
433	39863	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
434	39863	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
438	39864	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
439	39864	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
443	39865	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
444	39865	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
448	39866	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
449	39866	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
453	39867	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
454	39867	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
458	39868	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
459	39868	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
464	39869	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
465	39869	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
470	39870	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
471	39870	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
476	39871	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
477	39871	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
482	39873	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
483	39873	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
488	39874	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
489	39874	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
494	39875	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
495	39875	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
500	39876	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
501	39876	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
506	39877	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
507	39877	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
512	39878	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
513	39878	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
518	39879	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
519	39879	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
524	39880	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
525	39880	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
530	39881	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
531	39881	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
536	39882	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
537	39882	[93] Gergs A. and H.T. Ratte Predicting functional response and size selectivity of juvenile Notonecta maculata foraging on Daphnia magna. Ecological Modelling 2009. 220(23): p. 3331-3341.	Notonecta maculata Fabricius 1794	Daphnia magna Straus 1820	Individuals per arena
542	39883	[133] Faria L.D.B. W.A.C. Godoy and L.A. Trinca Dynamics of handling time and functional response by larvae of Chrysomya albiceps (Dipt. Calliphoridae) on different prey species. Journal of Applied Entomology 2004. 128(6): p. 432-436.	Chrysomya albiceps (Wiedemann 1819)	Chrysomya megacephala (Fabricius 1794)	Individuals per arena
543	39883	[133] Faria L.D.B. W.A.C. Godoy and L.A. Trinca Dynamics of handling time and functional response by larvae of Chrysomya albiceps (Dipt. Calliphoridae) on different prey species. Journal of Applied Entomology 2004. 128(6): p. 432-436.	Chrysomya albiceps (Wiedemann 1819)	Chrysomya megacephala (Fabricius 1794)	Individuals per arena
592	39884	Hardman J. M. and A. L. Turnbull. 1980. FUNCTIONAL-RESPONSE OF THE WOLF SPIDER PARDOSA-VANCOUVERI TO CHANGES IN THE DENSITY OF VESTIGIAL-WINGED FRUIT-FLIES. Researches on Population Ecology 21:233-259.	Pardosa vancouveri Emerton	Drosophila melanogaster Meigen 1830 (wingless)	Individuals per arena
593	39884	Hardman J. M. and A. L. Turnbull. 1980. FUNCTIONAL-RESPONSE OF THE WOLF SPIDER PARDOSA-VANCOUVERI TO CHANGES IN THE DENSITY OF VESTIGIAL-WINGED FRUIT-FLIES. Researches on Population Ecology 21:233-259.	Pardosa vancouveri Emerton	Drosophila melanogaster Meigen 1830 (wingless)	Individuals per arena
597	39885	Nakamura K. 1974. MODEL OF FUNCTIONAL RESPONSE OF A PREDATOR TO PREY DENSITY INVOLVING HUNGER EFFECT. Oecologia 16:265-278.	Pardosa T-insignita (Boesenberg et Strand)	Drosophila melanogaster Meigen 1830 (wingless)	Individuals per arena
598	39885	Nakamura K. 1974. MODEL OF FUNCTIONAL RESPONSE OF A PREDATOR TO PREY DENSITY INVOLVING HUNGER EFFECT. Oecologia 16:265-278.	Pardosa T-insignita (Boesenberg et Strand)	Drosophila melanogaster Meigen 1830 (wingless)	Individuals per arena
603	39886	Nakamura K. 1974. MODEL OF FUNCTIONAL RESPONSE OF A PREDATOR TO PREY DENSITY INVOLVING HUNGER EFFECT. Oecologia 16:265-278.	Pardosa T-insignita (Boesenberg et Strand)	Drosophila melanogaster Meigen 1830 (wingless)	Individuals per arena
604	39886	Nakamura K. 1974. MODEL OF FUNCTIONAL RESPONSE OF A PREDATOR TO PREY DENSITY INVOLVING HUNGER EFFECT. Oecologia 16:265-278.	Pardosa T-insignita (Boesenberg et Strand)	Drosophila melanogaster Meigen 1830 (wingless)	Individuals per arena
608	39887	Matsura T. T. Inoue and Y. Hosomi. 1975. Ecological studies of a mantid Paratenodera angustipennis de Saussure I. Evaluation of the feeding condition in natural habitats. Researches on Population Ecology 17:64-76.	Paratenodera angustipennis de saussure	Musca domestica Linnaeus 1758	Individuals per arena
609	39887	Matsura T. T. Inoue and Y. Hosomi. 1975. Ecological studies of a mantid Paratenodera angustipennis de Saussure I. Evaluation of the feeding condition in natural habitats. Researches on Population Ecology 17:64-76.	Paratenodera angustipennis de saussure	Musca domestica Linnaeus 1758	Individuals per arena
613	39888	Hildrew A. G. and C. R. Townsend. 1977. INFLUENCE OF SUBSTRATE ON FUNCTIONAL RESPONSE OF PLECTROCNEMIA-CONSPERSA (CURTIS) LARVAE (TRICHOPTERA POLYCENTROPODIDAE). Oecologia 31:21-26.	Plectrocnemia conspersa (Curtis 1834)	Leuctra nigra (Olivier 1811)	Individuals per arena
