BirdID	Year	Tarsus	Bill	Wing	Mass	Sex	Sex
27	2003	18	13.69999981	78	25.5	1	male
27	2003	18	NA	78	26.5	1	male
27	2004	17.89999962	13.80000019	79	26.79999924	1	male
27	2004	18.39999962	12.80000019	79	27.20000076	1	male
27	2005	NA	NA	80	26.70000076	1	male
27	2005	18	13.80000019	80	26	1	male
27	2005	18.5	13.10000038	80	27.20000076	1	male
28	2001	18.20000076	NA	79	27.60000038	1	male
28	2002	18	NA	79	27.60000038	1	male
28	2004	18	13.60000038	80	27.79999924	1	male
28	2004	18.29999924	13.10000038	81	26.5	1	male
28	2006	18.39999962	13.39999962	81	27.5	1	male
29	2001	16.79999924	NA	78	27.39999962	0	female
29	2001	17.70000076	NA	78	26.89999962	0	female
30	2001	17.89999962	NA	72	27	0	female
30	2001	18	NA	72	27.5	0	female
31	2002	18	NA	78	28.5	0	female
31	2003	18.79999924	12.80000019	77	27.75	0	female
31	2004	18.70000076	12.5	78	27.20000076	0	female
31	2004	18.70000076	13	78	28.89999962	0	female
31	2004	18.70000076	13.39999962	77	NA	0	female
31	2004	19	13	78	25.79999924	0	female
31	2005	18.60000038	13.19999981	79	26.79999924	0	female
32	2002	20.20000076	NA	76	28.10000038	0	female
32	2003	20.39999962	13.89999962	76	31	0	female
32	2003	19.89999962	13.80000019	76	29.75	0	female
33	2002	18.20000076	NA	82	29.29999924	1	male
33	2002	18.30000019	NA	81.5	28.19999981	1	male
34	2002	18.79999924	NA	77	27.70000076	1	male
34	2003	19.20000076	12.5	77	27	1	male
35	2001	16.20000076	NA	76	25.29999924	1	male
35	2002	16.19999981	NA	75.5	26.10000038	1	male
35	2003	17.5	14.10000038	76	26.5	1	male
35	2004	17.79999924	13.5	77	26	1	male
35	2004	17.60000038	13.10000038	78	23.79999924	1	male
36	2001	17.29999924	NA	79	29	1	male
37	2003	18.5	14.5	80	28.75	1	male
37	2004	19	13.89999962	81	28.79999924	1	male
37	2004	18.60000038	13.60000038	82	27.79999924	1	male
37	2005	18.55000019	14.25	82	31.75	1	male
38	2001	17.5	NA	78	29.5	1	male
38	2001	17	NA	78	29.39999962	1	male
38	2002	17.89999962	NA	77	29.39999962	1	male
39	2002	16.60000038	NA	78	26.5	1	male
39	2002	16.60000038	NA	77	26.5	1	male
40	2006	17.70000076	13.10000038	82	28	1	male
40	2003	17.79999924	13.5	79	29	1	male
40	2004	18	12	81	27.89999962	1	male
40	2004	18.29999924	13.19999981	81	29.5	1	male
40	2004	18.10000038	13.10000038	82	30.5	1	male
40	2004	18	13	80	30.20000076	1	male
40	2004	18.10000038	12.39999962	82	26.5	1	male
40	2005	18	13	82	28.20000076	1	male
40	2006	17.89999962	12.60000038	83	29.39999962	1	male
40	2007	18.29999924	13.10000038	82	27.29999924	1	male
41	2002	18.79999924	NA	76	26.39999962	0	female
42	2001	18.5	NA	80	31.5	1	male
42	2003	19.5	14.10000038	79	30.5	1	male
43	2006	18.10000038	13.39999962	75	25.79999924	0	female
43	2001	16.5	NA	73	24.89999962	0	female
43	2002	17.15000057	NA	74	24.75	0	female
43	2003	18.29999924	13.39999962	74	24.75	0	female
43	2004	18	13.19999981	75	32.40000153	0	female
43	2004	18	13.19999981	75	25	0	female
43	2004	18.10000038	13.10000038	76	29.39999962	0	female
43	2005	18	13.39999962	76	26	0	female
43	2005	18.39999962	13.5	76	25	0	female
43	2007	18.29999924	13.80000019	76	25.60000038	0	female
44	2001	17.70000076	NA	76	28.29999924	1	male
45	2001	NA	NA	NA	25.10000038	1	male
46	2001	NA	NA	NA	22.60000038	0	female
47	2001	NA	NA	NA	23	1	male
47	2002	18.20000076	NA	80	27.70000076	1	male
47	2004	19.39999962	13.19999981	81	26.79999924	1	male
47	2005	19.29999924	12.60000038	80	26.20000076	1	male
47	2005	19.5	12.5	83	25.79999924	1	male
48	2003	17.10000038	11.80000019	75	26.5	0	female
48	2003	17	12.39999962	75	25.75	0	female
48	2004	17	12.80000019	76	25.60000038	0	female
49	2006	17.70000076	13.5	76	25.60000038	0	female
49	2003	17.39999962	13.19999981	75	25.5	0	female
49	2004	17.39999962	13	77	26.5	0	female
49	2004	NA	NA	NA	27.20000076	0	female
49	2005	17.79999924	13.30000019	77	26	0	female
49	2005	17.39999962	13	75	25.79999924	0	female
49	2005	17.5	13.19999981	78	24.89999962	0	female
50	2003	17.5	13.10000038	75	26.75	0	female
50	2004	17.70000076	12.39999962	76	26.5	0	female
50	2004	17.5	13	76	28.29999924	0	female
51	2004	17	13	77	24.5	1	male
51	2004	16.89999962	13	77	25.5	1	male
51	2004	17	12.60000038	77	26.39999962	1	male
51	2004	17	13	78	26.5	1	male
51	2005	17.5	13	78	26.70000076	1	male
52	2003	18.5	14.30000019	78	27	1	male
52	2003	18.5	14.30000019	79	26.75	1	male
52	2003	18.79999924	13.89999962	78	27.75	1	male
52	2004	19	14	79	26.70000076	1	male
52	2004	18.79999924	14.19999981	79	27	1	male
52	2004	19.10000038	13.80000019	80	28.60000038	1	male
52	2005	18.79999924	14	80	28.60000038	1	male
52	2005	19	14.39999962	80	29.79999924	1	male
53	2003	18.5	13.69999981	78	27.25	0	female
54	2003	18.89999962	12.60000038	79	25.75	1	male
54	2003	19.20000076	12.89999962	79	NA	1	male
55	2003	18.20000076	13.30000019	71	27.25	0	female
55	2004	18.70000076	13	72	26.39999962	0	female
55	2004	18.79999924	13.19999981	73	27.5	0	female
55	2004	19	13	73	26.5	0	female
55	2005	18.29999924	13.39999962	71	29.79999924	0	female
56	2006	17.70000076	13.19999981	77	27.5	0	female
56	2003	18.10000038	13	75	30	0	female
56	2004	18	12.80000019	78	26.29999924	0	female
56	2005	18	13.60000038	77	26.5	0	female
56	2005	18.20000076	12.80000019	77	25.79999924	0	female
56	2007	18	12.80000019	75	25.60000038	0	female
57	2003	18	NA	75	26.25	0	female
57	2004	18.29999924	13.30000019	75	25.20000076	0	female
57	2004	18.79999924	12.80000019	75	24.60000038	0	female
58	2003	18.10000038	13.30000019	74	25.75	0	female
58	2005	18.20000076	13	76	26.39999962	0	female
59	2006	17	12.80000019	75	24.70000076	0	female
59	2003	16.89999962	13	74	25.75	0	female
59	2003	17.39999962	12.69999981	73	23.75	0	female
59	2004	17.29999924	12.5	75	25.60000038	0	female
59	2005	17.5	13	75	23.60000038	0	female
59	2005	17.29999924	13.19999981	74	24.39999962	0	female
59	2005	17.60000038	12.39999962	75	25.20000076	0	female
60	2003	18.10000038	13.19999981	77	25.25	1	male
60	2004	18.20000076	13.39999962	78	25.10000038	1	male
60	2004	18	13.19999981	78	27.39999962	1	male
60	2004	18.20000076	12.30000019	79	25.10000038	1	male
60	2005	18.39999962	13.39999962	79	24	1	male
61	2006	19.20000076	13.5	81	27.60000038	1	male
61	2003	18.5	13.30000019	79	27.75	1	male
61	2003	19.10000038	13.69999981	80	33.5	1	male
61	2004	19.39999962	13.80000019	80	29.39999962	1	male
61	2004	19.29999924	13.39999962	81	28.20000076	1	male
62	2003	19	13.5	78	31.25	1	male
62	2004	18.79999924	13.19999981	80	28	1	male
63	2003	19.20000076	13.19999981	76	28.5	1	male
63	2003	19	13	76	28.25	1	male
64	2003	18	13	76	30	0	female
64	2003	18.70000076	13.30000019	76	26.75	0	female
64	2003	18	NA	78	26.5	0	female
64	2004	18.70000076	13	77	27.10000038	0	female
64	2004	18.5	13.60000038	78	26.5	0	female
64	2004	18.70000076	14	78	27.10000038	0	female
65	2004	19.70000076	12.89999962	80	27.70000076	1	male
65	2004	19.79999924	12.30000019	80	28	1	male
65	2004	19.60000038	12.80000019	79	28.10000038	1	male
66	2003	16	12.69999981	75	NA	1	male
66	2004	16.70000076	12.30000019	79	25.20000076	1	male
66	2004	17	12.5	79	25.39999962	1	male
66	2004	16.89999962	12.80000019	79	25.20000076	1	male
66	2005	16.89999962	12	77	25.5	1	male
66	2005	17.10000038	12.19999981	79	25.70000076	1	male
67	2004	17.5	12.89999962	80	27	1	male
67	2004	18	13	81	25	1	male
68	2003	19	13	77	29.25	0	female
68	2003	19.29999924	NA	76	24.25	0	female
68	2004	18.89999962	13.39999962	78	29.39999962	0	female
68	2004	19.10000038	13	78	29	0	female
68	2005	19	13.5	78	29	0	female
69	2006	20.10000038	12.89999962	81	30.29999924	1	male
69	2003	20	13	76	30.25	1	male
69	2003	20.29999924	NA	80	29.25	1	male
69	2004	19.79999924	12.39999962	81	31.10000038	1	male
69	2004	20	13	80	30.60000038	1	male
69	2004	20.29999924	12.69999981	82	31.60000038	1	male
69	2005	20.20000076	13.30000019	81	31.79999924	1	male
69	2007	20	13	82	29.39999962	1	male
70	2006	20.20000076	13.80000019	83	30.39999962	1	male
70	2004	20.29999924	13.89999962	82	28.70000076	1	male
70	2004	20.20000076	14.10000038	82	28.5	1	male
70	2004	20.10000038	13.80000019	82	30	1	male
70	2005	20.20000076	14.10000038	83	30.60000038	1	male
70	2005	20.29999924	14.39999962	84	30.89999962	1	male
70	2007	20.20000076	14.39999962	83	28.20000076	1	male
71	2003	20.20000076	13.5	77	29.25	0	female
71	2003	20.39999962	NA	76	29.5	0	female
71	2004	20.39999962	14	78	30.29999924	0	female
71	2005	21	14.19999981	79	30.5	0	female
71	2005	20.5	13	78	30.20000076	0	female
71	2005	20.79999924	13.69999981	80	32.59999847	0	female
72	2003	19	13.39999962	78	28	1	male
72	2003	19	13	78	NA	1	male
72	2004	18.89999962	14	80	26.79999924	1	male
72	2005	18.10000038	13.5	80	29.20000076	1	male
73	2003	19	13.19999981	76	28.75	1	male
74	2006	18.70000076	14.80000019	76	29.70000076	0	female
74	2003	18.70000076	13.89999962	75	25.75	0	female
74	2004	18.79999924	14	75	26.89999962	0	female
74	2004	18.79999924	14.5	76	26.20000076	0	female
74	2005	19	15.10000038	77	27.79999924	0	female
74	2005	18.60000038	14.30000019	76	26.39999962	0	female
74	2005	19	14.60000038	67	25.5	0	female
74	2006	19	14.10000038	76	32	0	female
75	2003	18	13.89999962	75	26	0	female
75	2003	18.20000076	NA	76	28.5	0	female
75	2004	18.29999924	13.39999962	75	27.70000076	0	female
75	2004	18.20000076	13.19999981	74	28.89999962	0	female
75	2004	18.39999962	12.80000019	76	24.39999962	0	female
76	2003	19.20000076	13.10000038	74	32.75	0	female
76	2004	19	13.60000038	76	28.39999962	0	female
76	2004	19	13	77	27.39999962	0	female
76	2005	19	13	77	28.79999924	0	female
76	2005	19.39999962	13.19999981	76	28.60000038	0	female
77	2003	18.39999962	14	76	26.75	0	female
77	2003	18.5	NA	76	30	0	female
77	2004	18.5	13.80000019	77	26.89999962	0	female
77	2004	18.5	14	76	27.70000076	0	female
77	2004	18.60000038	13.89999962	78	26.10000038	0	female
78	2003	18.20000076	13.19999981	74	25	0	female
78	2003	18.5	13	74	26.75	0	female
78	2003	18.5	NA	74	24.5	0	female
78	2004	18.89999962	13	75	25.89999962	0	female
78	2004	18.70000076	13.19999981	75	24.39999962	0	female
78	2004	18.70000076	13.5	75	27.60000038	0	female
78	2004	18.5	12.80000019	75	25.5	0	female
78	2004	18.5	13	76	25.39999962	0	female
78	2005	19.10000038	13.60000038	76	28.39999962	0	female
78	2005	18.70000076	13.60000038	76	25.20000076	0	female
79	2003	18.39999962	14	76	27	0	female
80	2003	18.60000038	NA	77	27.75	1	male
81	2003	19.20000076	12.60000038	80	NA	1	male
81	2004	19.39999962	12.39999962	81	26.5	1	male
81	2004	19.10000038	12.69999981	82	27.39999962	1	male
81	2004	19.5	12.80000019	82	27.5	1	male
81	2004	NA	NA	NA	28.79999924	1	male
81	2004	18.89999962	13	82	28.79999924	1	male
82	2006	18.89999962	12.80000019	83	30.5	1	male
82	2003	18.5	12.80000019	81	29.75	1	male
82	2003	19.10000038	NA	82	28	1	male
82	2004	19	13.39999962	83	30	1	male
82	2004	19.10000038	13.10000038	83	28.70000076	1	male
82	2005	19.29999924	13.5	84	30.79999924	1	male
82	2005	19.29999924	13	84	30.20000076	1	male
83	2004	18.29999924	13	80	25.79999924	1	male
83	2004	18.5	13.19999981	81	25.60000038	1	male
83	2004	18.20000076	12.69999981	81	25.5	1	male
83	2005	18.5	12.89999962	81	27.10000038	1	male
83	2005	18.89999962	13	83	30.10000038	1	male
83	2005	NA	NA	NA	28.20000076	1	male
84	2004	18.20000076	13.19999981	78	29	1	male
84	2004	18.20000076	13.10000038	NA	26	1	male
84	2004	18.20000076	13.19999981	78	NA	1	male
84	2004	18.39999962	12.80000019	78	24.79999924	1	male
84	2004	18	13	78	27	1	male
84	2004	18.10000038	13.10000038	79	29.20000076	1	male
84	2005	18.10000038	13.10000038	78	27.70000076	1	male
84	2005	18.29999924	13.10000038	79	25.60000038	1	male
85	2003	17.5	14	77	28.25	0	female
86	2003	18.29999924	13.19999981	78	25.75	0	female
86	2003	18.5	13.19999981	77	21.25	0	female
86	2004	18.44999981	13.0999999	78	27.65000057	0	female
86	2004	18.20000076	13	79	27.10000038	0	female
86	2004	18.5	13.5	79	27.5	0	female
86	2005	18.89999962	13.5	79	27	0	female
86	2005	18.5	13.30000019	78	25.5	0	female
87	2006	18.89999962	12.80000019	81	29.5	1	male
87	2006	19	12.5	81	29.5	1	male
87	2004	18.79999924	13.60000038	80	28.20000076	1	male
87	2004	19	13	82	31.20000076	1	male
87	2005	18.89999962	13.30000019	81	30.5	1	male
87	2006	18.79999924	13.10000038	82	29.20000076	1	male
88	2003	18.79999924	NA	79	28.5	1	male
89	2004	18.79999924	13.5	80	32	1	male
89	2005	18.89999962	13.5	79	26.89999962	1	male
90	2006	18.60000038	13.60000038	79	29.5	1	male
90	2004	18.89999962	14	78	28	1	male
91	2004	18	13.60000038	79	24.60000038	1	male
91	2004	18.20000076	13.39999962	79	27	1	male
91	2005	18.39999962	13.19999981	79	26	1	male
91	2005	18.60000038	13.19999981	79	27.39999962	1	male
92	2004	18.10000038	13.10000038	79	24.5	1	male
93	2004	18.5	15	77	27.39999962	0	female
93	2004	18	14.30000019	77	26.79999924	0	female
93	2005	18.5	14.5	78	27.89999962	0	female
93	2005	18.79999924	14.10000038	78	24.5	0	female
94	2003	19.39999962	NA	79	28	1	male
94	2004	19.39999962	14.30000019	80	26.60000038	1	male
94	2004	19.5	14	82	32	1	male
95	2004	20.10000038	13.80000019	80	31.5	1	male
95	2004	20.10000038	13.5	80	31.20000076	1	male
95	2004	20.10000038	13.89999962	80	31.10000038	1	male
95	2004	20.10000038	13.80000019	81	31	1	male
95	2004	20.20000076	13.30000019	82	31.79999924	1	male
96	2004	18.70000076	13	78	25.60000038	0	female
96	2004	18.5	13.19999981	78	25.39999962	0	female
96	2004	18.39999962	12.80000019	78	26.79999924	0	female
97	2004	18.20000076	13	73	25.5	0	female
97	2004	18.20000076	12.5	75	24.79999924	0	female
97	2005	18.20000076	12.80000019	74	24	0	female
97	2006	18.10000038	13	75	23.79999924	0	female
98	2004	19.70000076	12.69999981	79	28.20000076	1	male
99	2004	18.79999924	12.39999962	75	26.79999924	0	female
99	2005	18.20000076	12.5	73	26.39999962	0	female
100	2004	19.60000038	13	81	29.39999962	1	male
101	2004	17.79999924	13.39999962	75	28.79999924	0	female
101	2004	NA	NA	NA	30	0	female
101	2004	18	13.80000019	74	27.70000076	0	female
101	2004	18	12.80000019	76	30.60000038	0	female
101	2005	18.20000076	14	76	25.79999924	0	female
101	2005	17.89999962	13.19999981	74	27.70000076	0	female
102	2006	18.79999924	14.10000038	77	30	0	female
102	2003	18.70000076	NA	77	31.5	0	female
102	2004	NA	NA	NA	NA	0	female
102	2004	18.79999924	13.80000019	77	29.5	0	female
102	2004	18.70000076	13.5	77	29	0	female
102	2004	17.89999962	13.89999962	75	29.89999962	0	female
102	2005	18.89999962	13.69999981	76	28.5	0	female
102	2007	18.79999924	13.89999962	78	28.20000076	0	female
103	2004	18.5	13.89999962	75	27.10000038	0	female
104	2003	19	NA	73	27	0	female
105	2004	19.5	13.69999981	77	26.20000076	0	female
106	2003	19	NA	76	30	0	female
106	2004	19	13.60000038	78	28.20000076	0	female
106	2005	19	13.80000019	77	28.20000076	0	female
106	2005	19.29999924	13.19999981	78	29.5	0	female
107	2004	19.79999924	14.39999962	77	30.79999924	0	female
108	2004	17.70000076	13	76	26.5	0	female
108	2005	17.39999962	14.5	75	24.5	0	female
109	2003	19.79999924	NA	77	27	0	female
109	2004	19.89999962	13.80000019	78	26.89999962	0	female
109	2005	20	14.10000038	77	30.39999962	0	female
109	2006	19.89999962	14.69999981	78	31.60000038	0	female
110	2006	19.5	13.10000038	78	29.70000076	0	female
110	2007	18.89999962	12.89999962	78	25.10000038	0	female
110	2003	19.39999962	13	76	25.5	0	female
110	2004	19.20000076	13	78	25.70000076	0	female
110	2004	19.39999962	13	79	27.89999962	0	female
110	2004	19.20000076	13.19999981	79	27.39999962	0	female
110	2004	19.20000076	12.10000038	78	25.29999924	0	female
110	2005	19.10000038	13	79	27.5	0	female
111	2003	19.39999962	14.19999981	78	29	1	male
111	2003	19.60000038	NA	79	29	1	male
111	2004	19.5	14	80	28.39999962	1	male
111	2004	19.20000076	14	80	32.5	1	male
112	2004	18.39999962	14.69999981	78	28.29999924	1	male
112	2004	18.5	14.69999981	78	27.20000076	1	male
112	2004	18.5	14.80000019	78	27	1	male
112	2005	18.60000038	14.69999981	79	27.70000076	1	male
113	2004	18.5	14.10000038	75	28.5	0	female
113	2004	NA	NA	NA	NA	0	female
113	2005	18.39999962	13.5	78	28	0	female
113	2005	18.60000038	13.80000019	76	28.20000076	0	female
113	2006	NA	NA	NA	NA	0	female
113	2007	18.70000076	13.69999981	76	26.79999924	0	female
114	2003	18.20000076	13.5	76	28.75	0	female
114	2003	17.29999924	13.80000019	75	29.5	0	female
115	2003	17.39999962	13.10000038	74	27.5	0	female
115	2003	18	13	75	27.75	0	female
115	2004	17.70000076	13.5	76	24.79999924	0	female
116	2003	19	12.30000019	80	26.75	1	male
116	2005	19.10000038	13.10000038	81	27	1	male
117	2003	17.29999924	11.89999962	74	28.75	0	female
117	2003	17.29999924	11.60000038	74	26.25	0	female
117	2003	17.10000038	NA	75	27.25	0	female
117	2004	17.39999962	12	75	27.20000076	0	female
117	2004	17.60000038	12.10000038	75	27.39999962	0	female
117	2004	17.20000076	12.30000019	75	28.20000076	0	female
117	2004	17.39999962	12.30000019	76	27.39999962	0	female
117	2005	17.10000038	11.5	75	27.20000076	0	female
117	2005	17.39999962	12	77	26.10000038	0	female
118	2004	18.5	12.80000019	77	28	0	female
118	2004	NA	NA	NA	NA	0	female
118	2004	18.39999962	12.39999962	78	27.89999962	0	female
119	2003	18.29999924	12.19999981	76	25.5	0	female
120	2006	17.20000076	12.30000019	76	26.89999962	0	female
120	2003	17.5	NA	76	24.5	0	female
120	2007	17.5	13	77	24.5	0	female
121	2003	18.5	13.39999962	77	26.75	1	male
121	2003	18.29999924	NA	79	27	1	male
122	2003	19.5	13.69999981	80	32.75	1	male
123	2004	19.79999924	14	80	32.5	0	female
123	2004	19.70000076	13.5	81	30.70000076	0	female
123	2005	19.39999962	14	80	32.59999847	0	female
123	2005	NA	NA	79	32.70000076	0	female
123	2005	19.89999962	14	81	33	0	female
124	2003	19	12.69999981	74	26.75	0	female
124	2003	19	12.80000019	76	25.5	0	female
124	2004	19.20000076	12.80000019	76	26.5	0	female
124	2004	19	13	76	26.5	0	female
124	2004	19	12.39999962	76	26	0	female
124	2005	18.79999924	12.19999981	77	27.79999924	0	female
124	2005	19.29999924	12.39999962	77	27.10000038	0	female
125	2006	19.39999962	13.5	79	29.5	1	male
125	2006	NA	NA	NA	29.60000038	1	male
125	2003	19.70000076	12.80000019	78	28.25	1	male
125	2004	20	12.89999962	79	27	1	male
125	2004	20	13	80	29.5	1	male
125	2005	19.79999924	12.69999981	80	28.20000076	1	male
125	2007	19.70000076	13	80	28.39999962	1	male
126	2003	17.20000076	12.5	77	27	1	male
126	2004	17.20000076	13.5	79	26.10000038	1	male
127	2006	19.10000038	14.30000019	81	28.79999924	1	male
127	2007	19.5	13.69999981	80	27.29999924	1	male
127	2007	19.5	13.39999962	80	27.20000076	1	male
127	2004	19.39999962	15.19999981	79	26.89999962	1	male
127	2004	19.20000076	13.39999962	80	28.79999924	1	male
127	2004	19.39999962	13.10000038	80	27.79999924	1	male
127	2005	19.39999962	13.60000038	80	NA	1	male
127	2005	19.5	14	81	29.60000038	1	male
128	2003	17.5	12.69999981	74	25.5	1	male
128	2004	17.60000038	13	76	26	1	male
128	2004	17.29999924	12.69999981	77	26.39999962	1	male
128	2004	17.39999962	12.89999962	76	26.29999924	1	male
129	2003	18.29999924	13.39999962	74	31	0	female
129	2003	18.29999924	13.19999981	74	27	0	female
129	2003	18.5	NA	75	27.25	0	female
130	2004	19	14.10000038	78	29	0	female
130	2004	19.5	13.39999962	79	32.20000076	0	female
130	2005	19.20000076	13.80000019	79	29.20000076	0	female
130	2005	19.39999962	13.39999962	79	29.60000038	0	female
131	2002	NA	NA	NA	27.10000038	1	male
132	2002	NA	NA	NA	25.29999924	0	female
132	2003	18	13.39999962	74	24.25	0	female
132	2003	16.60000038	NA	74	24	0	female
132	2004	17.20000076	13.5	74	25.20000076	0	female
132	2004	17.29999924	12.60000038	75	25.20000076	0	female
132	2005	18	13.10000038	75	24	0	female
133	2002	NA	NA	NA	25.10000038	1	male
134	2006	17.60000038	13.80000019	81	24.5	1	male
134	2004	17.89999962	13.10000038	81	25.20000076	1	male
134	2004	17.79999924	13	82	NA	1	male
135	2003	17.29999924	NA	NA	25	0	female
136	2007	17.39999962	12.5	77	23.20000076	0	female
136	2003	17	NA	75	27.25	0	female
136	2004	17	12.10000038	77	25.20000076	0	female
136	2005	17	12.5	77	24.10000038	0	female
136	2006	17.10000038	12	77	24.79999924	0	female
137	2004	18.29999924	13.19999981	78	25.5	0	female
137	2004	18.5	12.89999962	78	29.70000076	0	female
137	2004	18.5	12.80000019	78	24.60000038	0	female
137	2004	18.60000038	12.80000019	79	26.79999924	0	female
138	2003	17.5	NA	NA	25.25	1	male
139	2004	17.60000038	13	76	25.89999962	1	male
139	2004	17.5	13	76	25.70000076	1	male
139	2004	17.79999924	12.5	77	27.39999962	1	male
139	2005	17.60000038	12.69999981	77	27.89999962	1	male
139	2005	17.79999924	12.80000019	76	27.79999924	1	male
139	2006	17.5	13.30000019	77	27.79999924	1	male
140	2006	17.79999924	13.19999981	77	25.70000076	0	female
140	2007	18.10000038	13.10000038	77	25.60000038	0	female
140	2003	17.70000076	NA	76	26	0	female
140	2004	17	13.69999981	75	27.39999962	0	female
140	2004	17.70000076	13.19999981	76	27.5	0	female
140	2004	17.89999962	12.80000019	77	27.39999962	0	female
140	2005	17.70000076	13.19999981	76	27.79999924	0	female
140	2005	18	13	76	25.39999962	0	female
141	2004	20	12.80000019	81	25.20000076	1	male
141	2004	19.89999962	13	81	26.70000076	1	male
141	2004	20	12.80000019	82	25.20000076	1	male
141	2005	19.79999924	13	82	28	1	male
142	2003	18.39999962	NA	76	27.75	0	female
142	2004	18.5	13.5	77	25.89999962	0	female
142	2004	18.5	13.19999981	77	23.79999924	0	female
142	2004	18.60000038	13.39999962	77	27.5	0	female
142	2005	18.89999962	13.69999981	77	26.5	0	female
142	2005	18.60000038	13.89999962	77	26.5	0	female
143	2004	18.79999924	13.39999962	78	30	1	male
143	2004	19.20000076	13.69999981	79	28	1	male
144	2004	19.20000076	14	77	26.70000076	1	male
144	2004	18.79999924	14.5	77	27.20000076	1	male
144	2005	18.70000076	14.10000038	77	28.60000038	1	male
144	2005	18.79999924	13.69999981	77	26.5	1	male
145	2003	19.20000076	NA	78	27.5	1	male
145	2004	19.20000076	13.69999981	78	29.79999924	1	male
145	2004	19.39999962	12.69999981	80	26	1	male
146	2004	19.39999962	14.5	79	27.20000076	0	female
146	2004	19.5	13.69999981	78	32.40000153	0	female
146	2004	19.39999962	14	78	31.79999924	0	female
147	2007	18.89999962	13.5	78	28.10000038	0	female
147	2003	18.29999924	NA	78	27.25	0	female
